> Task :spotbugsMain
M V EI: io.github.fvarrui.javapackager.model.ManifestSection.getEntries() may expose internal representation by returning ManifestSection.entries  At ManifestSection.java:[line 35]
M V EI2: io.github.fvarrui.javapackager.model.ManifestSection.setEntries(Map) may expose internal representation by storing an externally mutable object into ManifestSection.entries  At ManifestSection.java:[line 39]
M V EI2: new io.github.fvarrui.javapackager.model.ManifestSection(String, Map) may expose internal representation by storing an externally mutable object into ManifestSection.entries  At ManifestSection.java:[line 23]
M V EI2: io.github.fvarrui.javapackager.model.Registry.setEntries(List) may expose internal representation by storing an externally mutable object into Registry.entries  At Registry.java:[line 29]
M V EI: io.github.fvarrui.javapackager.model.Registry.getEntries() may expose internal representation by returning Registry.entries  At Registry.java:[line 25]
M V EI2: new io.github.fvarrui.javapackager.model.Registry(List) may expose internal representation by storing an externally mutable object into Registry.entries  At Registry.java:[line 21]
M V EI2: io.github.fvarrui.javapackager.model.Manifest.setSections(List) may expose internal representation by storing an externally mutable object into Manifest.sections  At Manifest.java:[line 31]
M V EI: io.github.fvarrui.javapackager.model.Manifest.getSections() may expose internal representation by returning Manifest.sections  At Manifest.java:[line 27]
M V EI2: io.github.fvarrui.javapackager.model.Manifest.setAdditionalEntries(Map) may expose internal representation by storing an externally mutable object into Manifest.additionalEntries  At Manifest.java:[line 23]
M V EI: io.github.fvarrui.javapackager.model.Manifest.getAdditionalEntries() may expose internal representation by returning Manifest.additionalEntries  At Manifest.java:[line 19]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.extra(Map) may expose internal representation by storing an externally mutable object into PackagerSettings.extra  At PackagerSettings.java:[line 792]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.manifest(Manifest) may expose internal representation by storing an externally mutable object into PackagerSettings.manifest  At PackagerSettings.java:[line 842]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.additionalModulePaths(List) may expose internal representation by storing an externally mutable object into PackagerSettings.additionalModulePaths  At PackagerSettings.java:[line 852]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getTemplates() may expose internal representation by returning PackagerSettings.templates  At PackagerSettings.java:[line 423]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getWinConfig() may expose internal representation by returning PackagerSettings.winConfig  At PackagerSettings.java:[line 311]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getMacConfig() may expose internal representation by returning PackagerSettings.macConfig  At PackagerSettings.java:[line 327]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getModules() may expose internal representation by returning PackagerSettings.modules  At PackagerSettings.java:[line 247]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getAdditionalResources() may expose internal representation by returning PackagerSettings.additionalResources  At PackagerSettings.java:[line 239]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.scripts(Scripts) may expose internal representation by storing an externally mutable object into PackagerSettings.scripts  At PackagerSettings.java:[line 872]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.linuxConfig(LinuxConfig) may expose internal representation by storing an externally mutable object into PackagerSettings.linuxConfig  At PackagerSettings.java:[line 734]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getLinuxConfig() may expose internal representation by returning PackagerSettings.linuxConfig  At PackagerSettings.java:[line 319]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.templates(List) may expose internal representation by storing an externally mutable object into PackagerSettings.templates  At PackagerSettings.java:[line 882]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getAdditionalModulePaths() may expose internal representation by returning PackagerSettings.additionalModulePaths  At PackagerSettings.java:[line 399]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getFileAssociations() may expose internal representation by returning PackagerSettings.fileAssociations  At PackagerSettings.java:[line 407]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getScripts() may expose internal representation by returning PackagerSettings.scripts  At PackagerSettings.java:[line 415]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getExtra() may expose internal representation by returning PackagerSettings.extra  At PackagerSettings.java:[line 351]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.fileAssociations(List) may expose internal representation by storing an externally mutable object into PackagerSettings.fileAssociations  At PackagerSettings.java:[line 862]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getManifest() may expose internal representation by returning PackagerSettings.manifest  At PackagerSettings.java:[line 391]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.winConfig(WindowsConfig) may expose internal representation by storing an externally mutable object into PackagerSettings.winConfig  At PackagerSettings.java:[line 724]
M V EI2: io.github.fvarrui.javapackager.packagers.PackagerSettings.macConfig(MacConfig) may expose internal representation by storing an externally mutable object into PackagerSettings.macConfig  At PackagerSettings.java:[line 744]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getAdditionalModules() may expose internal representation by returning PackagerSettings.additionalModules  At PackagerSettings.java:[line 255]
M V EI: io.github.fvarrui.javapackager.packagers.PackagerSettings.getVmArgs() may expose internal representation by returning PackagerSettings.vmArgs  At PackagerSettings.java:[line 279]
H B Nm: The class name io.github.fvarrui.javapackager.utils.Commandline shadows the simple name of the superclass org.codehaus.plexus.util.cli.Commandline  At Commandline.java:[lines 14-58]
M B OS: io.github.fvarrui.javapackager.utils.JDKUtils.getRelease(File) may fail to close stream  At JDKUtils.java:[line 32]
M X OBL: io.github.fvarrui.javapackager.utils.JDKUtils.getRelease(File) may fail to clean up java.io.InputStream  Obligation to clean up resource created at JDKUtils.java:[line 32] is not discharged
M D DMI: Hard coded reference to an absolute pathname in io.github.fvarrui.javapackager.model.LinuxConfig.setDefaults(Packager)  At LinuxConfig.java:[line 96]
M V EI: io.github.fvarrui.javapackager.model.LinuxConfig.getCategories() may expose internal representation by returning LinuxConfig.categories  At LinuxConfig.java:[line 31]
M V EI2: io.github.fvarrui.javapackager.model.LinuxConfig.setCategories(List) may expose internal representation by storing an externally mutable object into LinuxConfig.categories  At LinuxConfig.java:[line 27]
M V EI2: io.github.fvarrui.javapackager.model.MacConfig.setInfoPlist(InfoPlist) may expose internal representation by storing an externally mutable object into MacConfig.infoPlist  At MacConfig.java:[line 268]
M V EI: io.github.fvarrui.javapackager.model.MacConfig.getInfoPlist() may expose internal representation by returning MacConfig.infoPlist  At MacConfig.java:[line 264]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.packagers.MacPackager$1.visitFile(Path, BasicFileAttributes) due to return value of called method  Dereferenced at MacPackager.java:[line 357]
M B ENV: It is preferable to use portable Java property 'java.home' instead of environment variable 'JAVA_HOME' in method io.github.fvarrui.javapackager.packagers.Context.getDefaultToolchain().  At Context.java:[line 91]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.scripts(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.scripts  At PackagePluginExtension.java:[line 86]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.macConfig(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.macConfig  At PackagePluginExtension.java:[line 68]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.linuxConfig(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.linuxConfig  At PackagePluginExtension.java:[line 62]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.winConfig(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.winConfig  At PackagePluginExtension.java:[line 74]
M V EI: io.github.fvarrui.javapackager.gradle.PackagePluginExtension.manifest(Closure) may expose internal representation by returning io.github.fvarrui.javapackager.packagers.PackagerSettings.manifest  At PackagePluginExtension.java:[line 80]
M V EI2: new io.github.fvarrui.javapackager.gradle.PackagePluginExtension(Project) may expose internal representation by storing an externally mutable object into PackagePluginExtension.project  At PackagePluginExtension.java:[line 28]
